Short Name,Position,League Name,Club Name,Nationality,Age,Overall,Gross Annual Eur,Predicted Center Eur,Predicted Low Eur,Predicted High Eur,Status
S. Gnabry,Midfielder,Bundesliga,FC Bayern München,Germany,29,82,13000000.0,6872996.0,6033914.0,8235607.0,overpaid
A. Tchouaméni,Midfielder,La Liga,Real Madrid,France,25,84,12500000.0,8661878.0,6398432.0,12128886.0,overpaid
E. Camavinga,Midfielder,La Liga,Real Madrid,France,22,83,12500000.0,10106014.0,8140281.0,13217118.0,fair
Pedri,Midfielder,La Liga,FC Barcelona,Spain,22,89,12500000.0,13141235.0,12527643.0,13982307.0,underpaid
J. Alvarez,Attacker,La Liga,Atlético Madrid,Argentina,25,87,12500000.0,12031266.0,11412285.0,13869258.0,fair
M. Simakan,Defender,Saudi Pro League,Al Nassr,France,25,81,12240000.0,4317794.0,3810468.0,4907065.0,overpaid
V. Gyökeres,Attacker,Premier League,Arsenal,Sweden,27,87,12048102.0,13098527.0,12461814.0,13974915.0,underpaid
H. Ekitiké,Attacker,Premier League,Liverpool,France,23,83,12048102.0,8482613.0,7726852.0,9207644.0,overpaid
F. Wirtz,Midfielder,Premier League,Liverpool,Germany,22,89,12048102.0,13075977.0,12462848.0,13979828.0,underpaid
N. Barella,Midfielder,Serie A,Inter,Italy,28,87,12040000.0,10625829.0,8085963.0,13712649.0,fair
É. Mendy,Goalkeeper,Saudi Pro League,Al Ahli SFC,Senegal,33,80,12000000.0,3787311.0,3062569.0,4648820.0,overpaid
M. Demiral,Defender,Saudi Pro League,Al Ahli SFC,Türkiye,27,78,12000000.0,2466282.0,2081895.0,2937826.0,overpaid
J. Tah,Defender,Bundesliga,FC Bayern München,Germany,29,87,12000000.0,10746917.0,8235878.0,13698649.0,fair
C. Romero,Defender,Premier League,Tottenham Hotspur,Argentina,27,82,11746900.0,6059169.0,5168247.0,7026812.0,overpaid
B. Saka,Attacker,Premier League,Arsenal,England,23,88,11746900.0,13063264.0,12461814.0,13979828.0,underpaid
Galeno,Midfielder,Saudi Pro League,Al Ahli SFC,Brazil,27,81,11730000.0,5836322.0,4945707.0,6722363.0,overpaid
W. Zaïre-Emery,Defender,Ligue 1,Paris Saint-Germain,France,19,80,11450000.0,4695894.0,3820591.0,5835707.0,overpaid
João Cancelo,Defender,Saudi Pro League,Al Hilal,Portugal,31,84,11220000.0,6129392.0,5260090.0,7082484.0,overpaid
L. Trossard,Attacker,Premier League,Arsenal,Belgium,30,83,10843292.0,9007725.0,7836699.0,10583105.0,overpaid
Matheus Cunha,Attacker,Premier League,Manchester United,Brazil,26,83,10843292.0,7543844.0,6658012.0,8597529.0,overpaid
Gabriel Martinelli,Attacker,Premier League,Arsenal,Brazil,24,81,10843292.0,7654039.0,6581594.0,8689758.0,overpaid
E. Eze,Midfielder,Premier League,Arsenal,England,27,83,10843292.0,9086799.0,7847481.0,10774145.0,overpaid
R. Cherki,Midfielder,Premier League,Manchester City,France,21,81,10843292.0,7709477.0,6275827.0,8950469.0,overpaid
Marc Cucurella,Defender,Premier League,Chelsea,Spain,26,84,10542089.0,8169904.0,6382104.0,10536188.0,overpaid
E. Millot,Midfielder,Saudi Pro League,Al Ahli SFC,France,22,78,10200000.0,2492047.0,1859542.0,3230708.0,overpaid
Iñigo Martínez,Defender,Saudi Pro League,Al Nassr,Spain,34,85,10200000.0,4935372.0,4293726.0,5732561.0,overpaid
A. Bastoni,Defender,Serie A,Inter,Italy,26,87,10190000.0,10372585.0,7580655.0,13712649.0,fair
Ferran Torres,Attacker,La Liga,FC Barcelona,Spain,25,83,10000000.0,7827408.0,6940287.0,8816380.0,overpaid
D. Upamecano,Defender,Bundesliga,FC Bayern München,France,26,85,10000000.0,7317536.0,6026200.0,8562156.0,overpaid
B. Šeško,Attacker,Premier League,Manchester United,Slovenia,22,80,9638482.0,7142468.0,6121849.0,8530487.0,overpaid
Pedro Neto,Midfielder,Premier League,Chelsea,Portugal,25,80,9638482.0,5263601.0,4328502.0,6280300.0,overpaid
Bruno Guimarães,Midfielder,Premier League,Newcastle United,Brazil,27,86,9638482.0,12967618.0,12391174.0,13928145.0,underpaid
S. Guirassy,Attacker,Bundesliga,Borussia Dortmund,Guinea,29,87,9430000.0,11289018.0,9038959.0,13786117.0,fair
A. Griezmann,Attacker,La Liga,Atlético Madrid,France,34,85,9380000.0,7896551.0,6015384.0,12235037.0,fair
A. Rabiot,Attacker,Serie A,AC Milan,France,30,83,9260000.0,6914843.0,6049770.0,8170542.0,overpaid
R. Højlund,Attacker,Serie A,Napoli,Denmark,22,76,9260000.0,3464318.0,3083928.0,3990098.0,overpaid
C. Nkunku,Attacker,Serie A,AC Milan,France,27,81,9260000.0,6003369.0,4886638.0,7378410.0,overpaid
S. Bergwijn,Midfielder,Saudi Pro League,Al Ittihad,Netherlands,27,80,9180000.0,5633667.0,4658958.0,6686023.0,overpaid
G. Kobel,Goalkeeper,Bundesliga,Borussia Dortmund,Switzerland,27,86,9060000.0,9118528.0,6016010.0,13509479.0,fair
A. Mac Allister,Midfielder,Premier League,Liverpool,Argentina,26,87,9036077.0,13112302.0,12462848.0,13979828.0,underpaid
B. Mbeumo,Attacker,Premier League,Manchester United,Cameroon,25,85,9036077.0,9241811.0,7895875.0,12042453.0,fair
F. Chiesa,Attacker,Premier League,Liverpool,Italy,27,81,9036077.0,6858664.0,5982653.0,8224596.0,overpaid
Gabriel,Defender,Premier League,Arsenal,Brazil,27,88,9036077.0,13063408.0,12461814.0,13974915.0,underpaid
R. Gravenberch,Midfielder,Premier League,Liverpool,Netherlands,23,85,9036077.0,9269759.0,7367660.0,12371638.0,fair
J. Pickford,Goalkeeper,Premier League,Everton,England,31,84,9036077.0,5051964.0,4460440.0,5748264.0,overpaid
M. Caicedo,Midfielder,Premier League,Chelsea,Ecuador,23,87,9036077.0,12629013.0,12242531.0,13941153.0,underpaid
E. Martínez,Goalkeeper,Premier League,Aston Villa,Argentina,32,85,9036077.0,5563883.0,4759051.0,6336011.0,overpaid
N. Madueke,Attacker,Premier League,Arsenal,England,23,80,9036077.0,5515710.0,4837368.0,6176694.0,overpaid
R. Kolo Muani,Attacker,Premier League,Tottenham Hotspur,France,26,81,9036077.0,6303195.0,5370790.0,7506352.0,overpaid
J. Bowen,Attacker,Premier League,West Ham United,England,28,83,9036077.0,7113396.0,6173673.0,8376488.0,overpaid
A. Semenyo,Midfielder,Premier League,AFC Bournemouth,Ghana,25,80,9036077.0,6717973.0,5822230.0,8212057.0,overpaid
S. Tonali,Midfielder,Premier League,Newcastle United,Italy,25,86,9036077.0,10446406.0,8461947.0,13363106.0,fair
Joelinton,Midfielder,Premier League,Newcastle United,Brazil,28,82,9036077.0,6864028.0,5251671.0,8592070.0,overpaid
M. Rogers,Midfielder,Premier League,Aston Villa,England,22,82,9036077.0,7654328.0,6941516.0,8589431.0,overpaid
K. Laimer,Defender,Bundesliga,FC Bayern München,Austria,28,82,9000000.0,6294637.0,5403684.0,7406314.0,overpaid
D. Huijsen,Defender,La Liga,Real Madrid,Netherlands,20,82,8960000.0,8136043.0,6684390.0,9440485.0,fair
R. Martínez,Attacker,Saudi Pro League,Al Taawoun FC,Colombia,31,72,8500000.0,1448768.0,1259337.0,1690929.0,overpaid
João Cancelo,Defender,Saudi Pro League,Al Hilal,Portugal,31,84,8330000.0,6129392.0,5260090.0,7082484.0,overpaid
Unai Simón,Goalkeeper,La Liga,Athletic Club,Spain,28,85,8330000.0,5736003.0,5008116.0,6414938.0,overpaid
Álex Baena,Midfielder,La Liga,Atlético Madrid,Spain,23,84,8330000.0,7371556.0,6065452.0,8743912.0,fair
P. Zieliński,Midfielder,Serie A,Inter,Poland,31,80,8330000.0,4715497.0,3961263.0,5777623.0,overpaid
Marcos Llorente,Defender,La Liga,Atlético Madrid,Spain,30,84,8330000.0,7103999.0,6297934.0,8236780.0,overpaid
L. Digne,Defender,Premier League,Aston Villa,France,31,80,8132469.0,4847062.0,4135031.0,5544644.0,overpaid
F. Nmecha,Midfielder,Bundesliga,Borussia Dortmund,Germany,24,82,8020000.0,6021538.0,5240488.0,6846540.0,overpaid
A. Nübel,Goalkeeper,Bundesliga,VfB Stuttgart,Germany,28,81,8000000.0,4059047.0,3631309.0,4717492.0,overpaid
Eric García,Defender,La Liga,FC Barcelona,Spain,24,79,8000000.0,4415544.0,3859780.0,5125428.0,overpaid
